Jméno;Hokej.cz ID;Tym;Nazev tymu;Sezona;Pozice;Vìk;GP;P;OFF;OFF IMPACT;POINT PRODUCTION;SHOOTING;PASSING;PEN DRAWN;PP;TRA;SHOT CONTRI;HD CHANCES;HD ASSISTS;CARRIES;ENTRY PASSES;POSS EXITS;DEF;DEF IMPACT;DENIALS;RECOVERIES;ROLE DIFF;PEN TAKEN;PK;First;Second;Jmeno hrace;Akt
Jakub Flek;17397;KOM;HC Kometa Brno;2023 / 2024;útoèník;30;32;26;77;72;75;32;88;40;81;98;90;95;93;94;99;89;39;43;23;69;73;96;53;Jakub;Flek;Flek J.;17. 1. 2024
Aaron Irving;318533;SPA;HC Sparta Praha;2023 / 2024;obránce;27;32;12;60;41;50;76;49;85;45;93;95;82;80;71;79;53;14;11;41;-;60;36;5;Aaron;Irving;Irving A.;17. 1. 2024
Adam Jánošík;11534;MBL;BK Mladá Boleslav;2023 / 2024;obránce;30;34;0;7;33;1;6;1;1;-;10;19;56;20;1;1;41;36;38;6;-;82;79;53;Adam;Jánošík;Janosik A.;17. 1. 2024
Adam Jiøíèek;10096041;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;17;19;1;1;3;1;15;1;82;26;33;47;7;1;19;61;88;3;4;91;-;83;92;-;Adam;Jiøíèek;Jiricek A.;17. 1. 2024
Adam Kubík;17550;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;24;30;18;77;71;67;75;65;44;70;89;88;94;51;86;91;66;16;16;44;80;90;22;91;Adam;Kubík;Kubik A.;17. 1. 2024
Adam Musil;49651;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;26;15;6;74;68;63;54;77;1;-;79;89;91;42;77;47;45;83;77;60;77;48;4;-;Adam;Musil;Musil A.;17. 1. 2024
Adam Najman;54066;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;22;33;30;90;84;87;69;85;34;66;57;66;49;79;76;57;27;26;33;21;20;12;91;32;Adam;Najman;Najman A.;17. 1. 2024
Adam Polášek;10878;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;32;33;4;55;62;38;42;55;12;-;19;83;36;56;6;1;28;68;64;77;-;81;66;92;Adam;Polášek;Polasek A.;17. 1. 2024
Adam Rutar;4132550;OLO;HC Olomouc;2023 / 2024;obránce;21;28;0;12;50;1;8;1;1;-;59;29;61;35;82;89;47;11;15;8;-;13;13;23;Adam;Rutar;Rutar A.;17. 1. 2024
Adam Smith;50;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;26;32;5;66;93;36;37;47;20;-;47;80;57;76;25;46;2;70;63;70;-;47;78;72;Adam;Smith;Smith A.;17. 1. 2024
Adam Zboøil;14491;KOM;HC Kometa Brno;2023 / 2024;útoèník;27;30;11;38;40;35;18;57;75;9;63;83;69;65;63;45;21;63;59;33;56;60;20;-;Adam;Zboøil;Zboril A.;17. 1. 2024
Adrián Holešinskı;18097;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;27;31;24;56;36;67;64;70;84;64;66;33;61;54;97;33;90;68;69;38;46;25;57;-;Adrián;Holešinskı;Holesinsky A.;17. 1. 2024
Aleksi Laakso;57;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;33;17;8;50;52;51;29;69;46;-;56;75;65;97;24;1;36;43;47;12;-;12;50;64;Aleksi;Laakso;Laakso A.;17. 1. 2024
Aleksi Rekonen;12;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;30;32;18;87;80;82;87;79;15;67;38;44;65;25;25;53;19;26;26;47;91;74;36;-;Aleksi;Rekonen;Rekonen A.;17. 1. 2024
Aleš Èech;10083954;MBL;BK Mladá Boleslav;2023 / 2024;obránce;19;24;3;50;74;47;12;65;98;-;49;36;84;12;66;50;57;45;46;84;-;31;6;-;Aleš;Èech;Cech A.;17. 1. 2024
Aleš Jergl;14654;MHK;Mountfield HK;2023 / 2024;útoèník;29;26;14;70;90;56;63;21;61;53;96;95;90;88;45;96;56;88;85;97;92;45;23;-;Aleš;Jergl;Jergl A.;17. 1. 2024
Alex Lintuniemi;10099575;MBL;BK Mladá Boleslav;2023 / 2024;obránce;27;30;8;28;2;61;62;31;70;-;91;73;93;85;51;50;77;90;92;73;-;72;65;96;Alex;Lintuniemi;Lintuniemi A.;17. 1. 2024
Alex Rašner;14657;OLO;HC Olomouc;2023 / 2024;obránce;27;26;7;74;54;80;54;92;43;-;86;58;79;32;94;90;78;26;27;20;-;18;98;-;Alex;Rašner;Rasner A.;17. 1. 2024
Alex Tamáši;51;MHK;Mountfield HK;2023 / 2024;útoèník;25;33;11;79;93;62;27;81;35;1;83;73;77;72;54;63;50;40;29;85;82;14;82;43;Alex;Tamáši;Tamasi A.;17. 1. 2024
Andrej Kudrna;7229427;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;32;34;13;45;25;57;40;63;18;17;73;68;90;52;92;75;7;37;47;10;75;87;65;41;Andrej;Kudrna;Kudrna A.;17. 1. 2024
Andrej Nestrašil;10330;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;32;33;29;71;55;66;68;86;19;95;22;64;14;62;19;12;36;55;52;1;64;86;45;48;Andrej;Nestrašil;Nestrasil A.;17. 1. 2024
Antonín Melka;10433;KLA;Rytíøi Kladno;2023 / 2024;útoèník;33;32;5;33;71;14;18;16;89;-;35;33;38;5;59;65;97;38;44;43;10;22;14;14;Antonín;Melka;Melka A.;17. 1. 2024
Aron Chmielewski;41531;OLO;HC Olomouc;2023 / 2024;útoèník;31;11;3;66;86;52;33;71;69;39;66;98;47;60;40;65;71;32;34;1;77;5;53;-;Aron;Chmielewski;Chmielewski A.;17. 1. 2024
Bohumil Jank;10853;MHK;Mountfield HK;2023 / 2024;obránce;31;29;4;29;51;23;70;1;32;-;46;48;41;21;44;86;16;87;78;74;-;53;15;8;Bohumil;Jank;Jank B.;17. 1. 2024
Brant Harris;32;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;33;31;20;57;62;47;59;59;57;65;26;29;50;20;20;42;39;27;24;58;53;25;71;67;Brant;Harris;Harris B.;17. 1. 2024
Dalibor Øezníèek;11223;OLO;HC Olomouc;2023 / 2024;obránce;31;32;13;77;70;69;92;45;1;61;17;45;35;73;41;1;6;93;97;30;-;50;85;98;Dalibor;Øezníèek;Reznicek D.;17. 1. 2024
Dalimil Mikyska;18682;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;24;21;4;79;50;81;91;60;1;-;58;8;52;64;55;51;89;46;50;97;-;4;98;-;Dalimil;Mikyska;Mikyska D.;17. 1. 2024
Daniel Gazda;17303;KOM;HC Kometa Brno;2023 / 2024;obránce;26;33;22;99;99;97;99;44;21;53;71;70;90;54;40;52;20;72;70;85;-;19;77;-;Daniel;Gazda;Gazda D.;17. 1. 2024
Daniel Kurovskı;15703;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;25;34;13;68;45;81;78;49;17;-;48;25;94;11;20;86;22;74;67;93;39;35;32;-;Daniel;Kurovskı;Kurovsky D.;17. 1. 2024
Daniel Malák;10081964;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;21;23;6;92;85;89;84;89;1;-;85;89;67;8;95;95;61;71;74;92;-;63;64;-;Daniel;Malák;Malak D.;17. 1. 2024
Daniel Voenílek;14888;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;27;34;24;79;94;59;45;74;50;79;93;72;61;87;85;91;82;64;61;66;84;17;27;-;Daniel;Voenílek;Vozenilek D.;17. 1. 2024
David Bernad;13685;MBL;BK Mladá Boleslav;2023 / 2024;obránce;29;31;5;57;49;57;52;76;97;-;65;69;20;52;49;62;72;84;81;64;-;68;73;-;David;Bernad;Bernad D.;17. 1. 2024
